2025-07-19 23:20:44 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=193.52.230.21; Destination=66.28.70.94; QNAME=vpn.eljcicax.xyz; QTYPE=A; RCODE=NOERROR
2025-07-19 23:28:01 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=34.25.102.134; Destination=27.251.174.94; QNAME=status.vknyxrwjfd.com; QTYPE=MX; RCODE=SERVFAIL
2025-07-19 23:33:48 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=62.179.29.35; Destination=65.14.25.155; QNAME=mail.ezdxlqsy.dev; QTYPE=CAA; RCODE=NOERROR
2025-07-19 23:38:20 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=201.110.81.171; Destination=180.146.125.167; QNAME=www.orrymyg.org; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-19 23:43:57 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=60.221.204.53; Destination=121.22.95.182; QNAME=login.qniaeum.net; QTYPE=SRV; RCODE=NOERROR
2025-07-19 23:59:42 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=103.178.66.43; Destination=75.65.98.210; QNAME=www.bhzfatsjpd.org; QTYPE=SRV; RCODE=SERVFAIL
2025-07-20 00:09:14 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=47.141.58.126; Destination=167.123.233.36; QNAME=vpn.zfnmhinmc.co; QTYPE=NS; RCODE=REFUSED
2025-07-20 00:14:14 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=81.4.41.200; Destination=175.143.114.140; QNAME=portal.xmnjcuyw.biz; QTYPE=A; RCODE=SERVFAIL
2025-07-20 00:24:56 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=194.200.143.239; Destination=88.165.88.88; QNAME=mail.dwvbxbwfw.xyz; QTYPE=AAAA; RCODE=FORMERR
2025-07-20 00:27:06 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=175.17.219.88; Destination=192.131.122.14; QNAME=cdn.xempkpbw.info; QTYPE=TXT; RCODE=SERVFAIL
2025-07-20 00:35:48 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=189.48.50.189; Destination=143.79.189.99; QNAME=secure.nhlxmealj.io; QTYPE=MX; RCODE=NXDOMAIN
2025-07-20 00:39:13 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=9.74.115.19; Destination=72.66.140.109; QNAME=login.ljazfjjdq.io; QTYPE=AAAA; RCODE=SERVFAIL
2025-07-20 00:39:51 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=119.160.121.199; Destination=45.49.5.149; QNAME=status.sellv.io; QTYPE=A; RCODE=REFUSED
2025-07-20 00:54:19 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=55.30.109.62; Destination=206.185.235.221; QNAME=vpn.azmxj.biz; QTYPE=SOA; RCODE=NXDOMAIN
2025-07-20 01:03:19 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=166.191.104.25; Destination=154.95.7.94; QNAME=portal.vrzxwthjz.co; QTYPE=SOA; RCODE=NOERROR
2025-07-20 01:08:54 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=144.93.132.103; Destination=118.233.179.155; QNAME=assets.fbjwmuy.dev; QTYPE=NS; RCODE=NOERROR
2025-07-20 01:10:53 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=36.56.162.228; Destination=202.209.100.238; QNAME=mail.lvdodtenxk.co; QTYPE=CAA; RCODE=REFUSED
2025-07-20 01:16:51 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=95.215.151.71; Destination=199.108.249.212; QNAME=cdn.cukwepam.net; QTYPE=PTR; RCODE=SERVFAIL
2025-07-20 01:22:08 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=73.0.120.174; Destination=61.22.55.247; QNAME=mail.lygbxlbc.dev; QTYPE=SRV; RCODE=REFUSED
2025-07-20 01:23:02 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=115.196.5.159; Destination=122.147.92.177; QNAME=secure.kgkujky.dev; QTYPE=SOA; RCODE=SERVFAIL
2025-07-20 01:32:25 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=46.12.111.29; Destination=29.130.243.183; QNAME=mail.uqykf.com; QTYPE=MX; RCODE=SERVFAIL
2025-07-20 01:35:27 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=22.8.205.190; Destination=101.147.172.105; QNAME=updates.ixkydakm.co; QTYPE=TXT; RCODE=SERVFAIL
2025-07-20 01:37:46 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=128.230.138.48; Destination=61.240.209.10; QNAME=mail.wbfdmxqer.net; QTYPE=TXT; RCODE=REFUSED
2025-07-20 01:46:55 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=9.64.163.17; Destination=13.221.192.53; QNAME=auth.dsahf.net; QTYPE=NS; RCODE=FORMERR
2025-07-20 01:47:44 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=129.89.87.236; Destination=184.130.129.137; QNAME=updates.nbmhd.dev; QTYPE=NS; RCODE=SERVFAIL
2025-07-20 01:50:00 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=189.192.45.115; Destination=51.228.122.20; QNAME=auth.sdppsssppu.org; QTYPE=MX; RCODE=FORMERR
2025-07-20 01:50:36 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=189.131.182.54; Destination=163.29.184.107; QNAME=portal.hkbglpuos.xyz; QTYPE=PTR; RCODE=FORMERR
2025-07-20 01:51:20 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=161.71.189.79; Destination=44.69.65.123; QNAME=mail.kfcpwpen.net; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 02:00:14 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=109.238.124.155; Destination=130.90.65.254; QNAME=auth.lfzlati.net; QTYPE=PTR; RCODE=FORMERR
2025-07-20 02:00:34 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=78.31.45.188; Destination=194.236.90.70; QNAME=secure.vmwfmq.net; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 02:01:58 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=83.62.237.214; Destination=116.246.156.75; QNAME=vpn.rytmbejq.info; QTYPE=SRV; RCODE=NXDOMAIN
2025-07-20 02:03:12 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=191.124.12.152; Destination=103.156.191.13; QNAME=portal.zdvtdzwy.xyz; QTYPE=TXT; RCODE=NXDOMAIN
2025-07-20 02:04:11 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=55.79.102.229; Destination=54.227.113.142; QNAME=portal.lqvpxdaf.dev; QTYPE=NS; RCODE=NXDOMAIN
2025-07-20 02:05:27 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=72.141.207.166; Destination=134.107.107.127; QNAME=status.hprompaq.org; QTYPE=CAA; RCODE=REFUSED
2025-07-20 02:06:12 | EventID=257 | RESPONSE | TCP=0; InterfaceIP=205.224.43.247; Destination=123.105.254.50; QNAME=repo.duylsl.info; QTYPE=SRV; RCODE=REFUSED
