# Timestamp|LogType|Server/Origin|Protocol|Source|Destination|Action|Rule/FQDN|BytesSent|BytesRecv|User/TrafficSource|Auth/Country|Policy
2025-08-05 03:05:57|TMG|SRV-APP10|ICMP|192.168.8.98|192.168.77.230|DENY|ICMP-BLOCK-686|353|2749|admin5|AUTH|MEDIUM
2025-07-28 09:58:46|TMG|SRV-APP5|UDP|192.168.201.58:1194|102.94.161.32:1194|DENY|UDP-BLOCK-839|2017|353|DOMAIN\user88|AUTH|HIGH
2025-07-30 14:19:03|TMG|SRV-DB7|TCP|10.38.251.14:80|155.78.188.92:8080|DENY|TCP-BLOCK-942|5910|1850|svc-web8|KERBEROS|LOW
2025-08-10 14:56:33|TMG|SRV-DC10|ICMP|10.244.80.47|10.63.204.6|ALLOW|ICMP-ACCESS-248|4808|2206|admin11|NTLM|CRITICAL
2025-08-05 01:50:47|TMG|SRV-DC3|UDP|172.26.63.138:3478|159.60.12.3:123|ALLOW|UDP-ACCESS-245|6998|3139|svc-db2|NTLM|MEDIUM
2025-07-24 23:55:07|TMG|SRV-DB17|ICMP|10.9.197.62|191.127.7.219|ALLOW|ALLOW-8834|8134|2053|svc-db4|NTLM|LOW
2025-08-14 21:52:16|TMG|SRV-WEB11|UDP|10.49.133.98:123|178.154.57.16:3478|ALLOW|UDP-ACCESS-592|9888|4376|admin1|AUTH|HIGH
2025-08-14 02:13:02|TMG|SRV-APP6|ICMP|192.168.81.205|53.241.154.235|DENY|ICMP-BLOCK-238|1523|4107|DOMAIN\user13|AUTH|HIGH
2025-08-04 06:01:29|TMG|SRV-DC9|TCP|192.168.93.160:8443|80.224.44.23:80|DENY|TCP-BLOCK-347|9738|296|guest3646|ANON|MEDIUM
2025-08-04 11:48:11|TMG|SRV-APP5|ICMP|192.168.42.139|172.18.26.107|DENY|ICMP-BLOCK-283|3684|3363|guest4807|ANON|MEDIUM
2025-08-02 19:07:58|TMG|SRV-WEB10|TCP|172.26.136.83:8080|10.55.145.155:443|ALLOW|ALLOW-2279|424|4996|svc-db9|AUTH|MEDIUM
2025-07-30 04:18:24|TMG|SRV-APP20|UDP|172.27.60.79:3478|124.179.181.53:161|DENY|UDP-BLOCK-495|3916|2056|svc-app9|KERBEROS|CRITICAL
2025-07-31 13:09:53|TMG|SRV-DC3|ICMP|192.168.133.30|136.244.195.75|DENY|ICMP-BLOCK-632|4644|2974|DOMAIN\user73|KERBEROS|LOW
2025-08-15 22:04:41|TMG|SRV-DC18|ICMP|192.168.68.13|21.132.79.8|ALLOW|ALLOW-4838|996|4215|svc-app2|NTLM|CRITICAL
2025-08-07 09:56:00|TMG|SRV-DB20|TCP|192.168.49.95:8443|39.151.42.106:3389|ALLOW|ALLOW-5930|1636|1261|svc-app15|NTLM|HIGH
2025-08-13 16:11:04|TMG|SRV-APP19|UDP|172.25.7.172:3478|13.83.145.196:3478|DENY|UDP-BLOCK-837|9043|4878|svc-db9|NTLM|CRITICAL
2025-08-14 11:00:23|TMG|SRV-DC2|TCP|10.68.197.225:3389|150.230.219.68:8080|DENY|TCP-BLOCK-715|4348|4906|guest6696|ANON|LOW
2025-08-03 08:24:42|TMG|SRV-WEB7|TCP|192.168.182.210:3389|32.35.184.158:22|DENY|TCP-BLOCK-268|2111|3973|DOMAIN\user92|AUTH|HIGH
2025-07-21 21:39:04|TMG|SRV-DB5|TCP|10.227.152.29:443|10.219.59.99:80|DENY|TCP-BLOCK-456|7953|1577|guest2310|ANON|HIGH
2025-08-02 06:32:52|TMG|SRV-DC4|UDP|10.209.225.175:1194|172.27.86.43:53|ALLOW|ALLOW-1395|4413|696|DOMAIN\user36|NTLM|MEDIUM
2025-08-15 02:13:39|TMG|SRV-WEB12|ICMP|10.245.178.211|10.217.41.28|ALLOW|ALLOW-5234|2804|3612|admin13|AUTH|MEDIUM
2025-07-20 05:15:59|TMG|SRV-DB11|UDP|172.24.201.200:123|148.67.212.70:500|ALLOW|UDP-ACCESS-771|328|1517|svc-app13|NTLM|CRITICAL
2025-08-12 07:21:23|TMG|SRV-DB15|ICMP|192.168.81.231|72.212.239.168|ALLOW|ALLOW-2649|8286|189|admin12|NTLM|LOW
2025-07-27 00:12:46|TMG|SRV-DC16|UDP|10.229.130.250:3478|9.44.255.61:53|DENY|UDP-BLOCK-372|4770|1252|admin11|AUTH|LOW
