timestamp,hostname,aws region,event type,origin ids,origin type,user id,organization id,retention days,storage location,msp organization id,session id,session type,vpn profile,public ip,assigned ip,connected at,disconnection reason,os version,anyconnect version,asa syslog id,device id,machine id,public ipv6,assigned ipv6,security group tag,dap record name,dap connection type,failed reasons,log message,asa syslog severity,asa syslog class,asa syslog description
"2025-07-25 03:32:14","latam-vpn-gw-1","us-east-1","CONNECTED","[1551900704]","7","fatma","8236318","365","us","","8587","IKEv2","CiscoSecureAccessVPN","46.17.148.152","172.16.247.50","","","Windows 10 22H2","5.0.03120","ASA-3-113015","DEVICE-L-8836","","n/a","n/a","10","","","[]","Session connected successfully","3","ERROR","AAA-ERROR"
"2025-07-20 02:39:57","hq-vpn-gw-1","us-west-2","DISCONNECTED","[807104034]","7","ned","8236318","365","us","","2986","TLS","CiscoSecureAccessVPN","220.134.151.205","192.168.186.63","2025-07-20T02:30:32Z","Admin Logout","Mac OS X 14.6.1","4.10.06079","ASA-6-113039","DEVICE-W-2202","","n/a","n/a","10","","","[]","Session disconnected","5","INFORMATION","AAA-INFO"
"2025-08-16 19:53:44","apac-vpn-gw-1","sa-east-1","DISCONNECTED","[1815539053]","7","burak","8236318","365","us","","4770","TLS","CiscoSecureAccessVPN","57.163.49.159","192.168.173.194","2025-08-16T14:21:34Z","User Requested","Mac OS X 14.6.1","5.1.2.42","ASA-5-109201","DEVICE-W-8222","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-16 20:03:14","hq-vpn-gw-2","ap-northeast-1","DISCONNECTED","[479317303]","7","charlie","8236318","365","us","","9700","IKEv2","CiscoSecureAccessVPN","42.137.3.235","10.10.202.173","2025-08-16T15:06:51Z","Network Error","Mac OS X 14.6.1","5.1.2.42","ASA-6-113039","DEVICE-M-7313","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-08-12 14:20:14","eu-vpn-gw-2","us-east-1","CONNECTED","[1903661956]","7","ayse","8236318","365","us","","8054","IKEv2","CiscoSecureAccessVPN","191.106.35.217","10.10.171.172","","","Ubuntu 24.04","5.0.03120","ASA-4-113019","DEVICE-W-3153","","n/a","n/a","10","","","[]","Session connected successfully","5","INFORMATION","AAA-INFO"
"2025-08-13 20:18:59","hq-vpn-gw-1","sa-east-1","DISCONNECTED","[1414220478]","7","leo","8236318","365","us","","5372","IKEv2","CiscoSecureAccessVPN","153.60.60.176","10.10.91.21","2025-08-13T19:06:09Z","Idle Timeout","Android 14","5.0.05040","ASA-3-113015","DEVICE-L-7126","","n/a","n/a","10","","","[]","Session disconnected","4","WARNING","AAA-WARN"
"2025-07-30 23:30:57","latam-vpn-gw-1","eu-west-1","FAILED","[1791563050]","7","wendy","8236318","365","us","","6954","IKEv2","CiscoSecureAccessVPN","157.64.164.192","10.10.125.111","","","Android 14","5.0.05040","ASA-4-113019","DEVICE-L-1655","","n/a","n/a","10","","","["AUTHORIZATION-CHECK"]","AAA Marking param1 server param2 as FAILED","5","INFORMATION","AAA-INFO"
"2025-07-21 00:12:15","latam-vpn-gw-1","us-west-2","FAILED","[788894094]","7","mallory","8236318","365","us","","6699","TLS","CiscoSecureAccessVPN","28.101.185.137","172.16.241.212","","","Mac OS X 13.6","5.0.03120","ASA-6-113039","DEVICE-M-2734","","n/a","n/a","10","","","["CERT-AUTH-CHECK"]","AAA Marking param1 server param2 as FAILED","3","ERROR","AAA-ERROR"
"2025-08-06 23:08:11","latam-vpn-gw-1","eu-central-1","CONNECTED","[1113204106]","7","baran","8236318","365","us","","1948","IKEv2","CiscoSecureAccessVPN","93.79.247.97","10.10.105.131","","","Ubuntu 22.04","5.1.0.91","ASA-6-113039","DEVICE-W-7871","","n/a","n/a","10","","","[]","Session connected successfully","4","WARNING","AAA-WARN"
"2025-08-10 13:56:55","hq-vpn-gw-1","sa-east-1","FAILED","[843223598]","7","trent","8236318","365","us","","5352","IKEv2","CiscoSecureAccessVPN","106.253.138.51","10.10.30.225","","","Ubuntu 22.04","5.0.05040","ASA-5-109201","DEVICE-L-6046","","n/a","n/a","10","","","["CERT-AUTH-CHECK"]","AAA Marking param1 server param2 as FAILED","5","INFORMATION","AAA-INFO"
